Date,Open,High,Low,Close,Adj Close,Volume
2017-10-05,4.301450,4.305980,4.291000,4.298020,4.298020,0
2017-10-06,4.302420,4.317280,4.297000,4.301090,4.301090,0
2017-10-09,4.310060,4.315000,4.294000,4.312200,4.312200,0
2017-10-10,4.298970,4.303200,4.281000,4.300200,4.300200,0
2017-10-11,4.294900,4.295800,4.264000,4.294800,4.294800,0
2017-10-12,4.268750,4.278790,4.263000,4.268650,4.268650,0
2017-10-13,4.267990,4.269100,4.243000,4.268900,4.268900,0
2017-10-16,4.248890,4.251900,4.226000,4.252600,4.252600,0
2017-10-17,4.232970,4.238560,4.218000,4.232700,4.232700,0
2017-10-18,4.234580,4.236300,4.221000,4.236400,4.236400,0
2017-10-19,4.233970,4.242900,4.227000,4.233690,4.233690,0
2017-10-20,4.232280,4.246240,4.225000,4.232100,4.232100,0
2017-10-23,4.230890,4.241400,4.217000,4.231090,4.231090,0
2017-10-24,4.226250,4.246960,4.223000,4.227110,4.227110,0
2017-10-25,4.243990,4.248200,4.224000,4.244390,4.244390,0
2017-10-26,4.241150,4.251810,4.229000,4.242000,4.242000,0
2017-10-27,4.252430,4.263000,4.239000,4.253000,4.253000,0
2017-10-30,4.243820,4.248510,4.235000,4.243700,4.243700,0
2017-10-31,4.248950,4.250600,4.236550,4.249020,4.249020,0
2017-11-01,4.238900,4.241000,4.226000,4.238700,4.238700,0
2017-11-02,4.232600,4.240120,4.226000,4.231580,4.231580,0
2017-11-03,4.233270,4.247900,4.232000,4.234500,4.234500,0
2017-11-06,4.242710,4.247700,4.235000,4.243300,4.243300,0
2017-11-07,4.238100,4.246200,4.228000,4.237800,4.237800,0
2017-11-08,4.242650,4.244900,4.226000,4.241920,4.241920,0
2017-11-09,4.234970,4.237900,4.224000,4.234900,4.234900,0
2017-11-10,4.229710,4.234040,4.221000,4.229790,4.229790,0
2017-11-13,4.224100,4.238200,4.221000,4.222780,4.222780,0
2017-11-14,4.234720,4.248040,4.225000,4.236000,4.236000,0
2017-11-15,4.247200,4.249200,4.237000,4.247220,4.247220,0
2017-11-16,null,null,null,null,null,null
2017-11-17,4.235250,4.243740,4.228000,4.235370,4.235370,0
2017-11-20,4.229600,4.237800,4.222000,4.230250,4.230250,0
2017-11-21,4.230600,4.235360,4.211000,4.228610,4.228610,0
2017-11-22,4.220000,4.221300,4.203480,4.216690,4.216690,0
2017-11-23,4.212100,4.216600,4.200000,4.212000,4.212000,0
2017-11-24,4.207520,4.212930,4.201000,4.207560,4.207560,0
2017-11-27,4.208900,4.211700,4.195000,4.209050,4.209050,0
2017-11-28,4.207920,4.211100,4.197000,4.207850,4.207850,0
2017-11-29,4.201300,4.203800,4.188000,4.201760,4.201760,0
2017-11-30,4.199520,4.208000,4.190000,4.199850,4.199850,0
2017-12-01,4.202500,4.215500,4.196000,4.201880,4.201880,0
2017-12-04,4.204390,4.211900,4.194000,4.207600,4.207600,0
2017-12-05,4.206810,4.208400,4.194000,4.206330,4.206330,0
2017-12-06,4.209600,4.216900,4.204000,4.207020,4.207020,0
2017-12-07,4.212500,4.216150,4.205000,4.212050,4.212050,0
2017-12-08,4.208900,4.211200,4.194000,4.206880,4.206880,0
2017-12-11,4.196100,4.206160,4.191000,4.193750,4.193750,0
2017-12-12,4.200550,4.216030,4.194000,4.198820,4.198820,0
2017-12-13,4.208100,4.217900,4.205000,4.208200,4.208200,0
2017-12-14,4.218100,4.223820,4.213000,4.217850,4.217850,0
2017-12-15,4.222900,4.224200,4.206000,4.222310,4.222310,0
2017-12-18,4.211020,4.213420,4.196000,4.212200,4.212200,0
2017-12-19,4.205350,4.208100,4.192000,4.206100,4.206100,0
2017-12-20,4.200090,4.207500,4.192000,4.201900,4.201900,0
2017-12-21,4.204800,4.205300,4.188000,4.204800,4.204800,0
2017-12-22,4.195620,4.199250,4.185000,4.195660,4.195660,0
2017-12-25,4.193000,4.203600,4.187940,4.187940,4.187940,0
2017-12-26,4.191520,4.201800,4.188130,4.191750,4.191750,0
2017-12-27,4.197500,4.199900,4.182000,4.195200,4.195200,0
2017-12-28,4.188880,4.191300,4.172000,4.188720,4.188720,0
2017-12-29,4.178700,4.184150,4.164000,4.179100,4.179100,0
2018-01-01,4.181000,4.181000,4.169900,4.181400,4.181400,0
2018-01-02,4.173850,4.178200,4.156000,4.172930,4.172930,0
2018-01-03,4.161500,4.170700,4.150000,4.162000,4.162000,0
2018-01-04,4.146920,4.156600,4.143000,4.146730,4.146730,0
2018-01-05,4.146790,4.156900,4.140000,4.147100,4.147100,0
2018-01-08,4.150560,4.172460,4.148000,4.150860,4.150860,0
2018-01-09,4.171500,4.184790,4.165000,4.171700,4.171700,0
2018-01-10,4.189870,4.192300,4.171000,4.189810,4.189810,0
2018-01-11,4.172820,4.179620,4.164000,4.173430,4.173430,0
2018-01-12,4.165930,4.171300,4.159000,4.166600,4.166600,0
2018-01-15,4.168280,4.176000,4.160000,4.168690,4.168690,0
2018-01-16,4.170470,4.185450,4.162000,4.170000,4.170000,0
2018-01-17,4.169760,4.179400,4.164000,4.170030,4.170030,0
2018-01-18,4.164700,4.169600,4.155000,4.164580,4.164580,0
2018-01-19,4.159840,4.176710,4.156000,4.160620,4.160620,0
2018-01-22,4.170810,4.172900,4.162000,4.171900,4.171900,0
2018-01-23,4.166900,4.174080,4.162000,4.166700,4.166700,0
2018-01-24,4.166300,4.169700,4.141000,4.164760,4.164760,0
2018-01-25,4.151830,4.155600,4.132000,4.152400,4.152400,0
2018-01-26,4.142010,4.148100,4.127000,4.142400,4.142400,0
2018-01-29,4.131360,4.148800,4.127000,4.130460,4.130460,0
2018-01-30,4.144540,4.159690,4.137000,4.144150,4.144150,0
2018-01-31,4.155570,4.158360,4.142000,4.157200,4.157200,0
2018-02-01,4.150000,4.159600,4.143000,4.150220,4.150220,0
2018-02-02,4.151780,4.166450,4.148000,4.152090,4.152090,0
2018-02-05,4.167430,4.169500,4.138000,4.166510,4.166510,0
2018-02-06,4.158170,4.170950,4.145000,4.159000,4.159000,0
2018-02-07,4.153520,4.164520,4.148000,4.155400,4.155400,0
2018-02-08,4.168760,4.188140,4.161000,4.169950,4.169950,0
2018-02-09,4.191400,4.202350,4.177000,4.190230,4.190230,0
2018-02-12,4.181860,4.191000,4.163000,4.181780,4.181780,0
2018-02-13,4.166000,4.177700,4.162000,4.167900,4.167900,0
2018-02-14,4.165000,4.180520,4.161000,4.166200,4.166200,0
2018-02-15,4.152460,4.160200,4.143000,4.152650,4.152650,0
2018-02-16,4.153590,4.163750,4.145000,4.154600,4.154600,0
2018-02-19,4.157600,4.157600,4.129000,4.157600,4.157600,0
2018-02-20,4.133870,4.149400,4.130000,4.133830,4.133830,0
2018-02-21,4.147970,4.172600,4.143000,4.148500,4.148500,0
